Brand,Model,Year,Mileage,Engine,Fuel_type,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Ford,Utility Police Interceptor Base,2013,51000,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300
Hyundai,Palisade SEL,2021,34742,3.8L V6 24V GDI DOHC,Gasoline,8-Speed Automatic,Gray,Moonlight Cloud,At least 1 accident or damage reported,Yes,38005
Lexus,RX 350 RX 350,2022,22372,3.5 Liter DOHC,Gasoline,Automatic,Black,Blue,None reported,,54598
INFINITI,Q50 Hybrid Sport,2015,88900,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500
Audi,Q3 45 S line Premium Plus,2021,9835,2.0L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Black,Glacier White Metallic,None reported,,34999
Acura,ILX 2.4L,2016,136397,2.4 Liter,Gasoline,F,Ebony.,Silver,None reported,,14798
Audi,S3 2.0T Premium Plus,2017,84000,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Blue,None reported,Yes,31000
BMW,740 iL,2001,242000,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Green,Green,None reported,Yes,7300
Lexus,RC 350 F Sport,2021,23436,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,41927
Tesla,Model X Long Range Plus,2020,34000,534.0HP Electric Motor Electric Fuel System,,A/T,Black,Black,None reported,Yes,69950
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,V6,Gasoline,Automatic,Pimento / Ebony,Fuji White,None reported,,73897
Aston,Martin DBS Superleggera,2019,22770,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Silver,None reported,Yes,184606
Toyota,Supra 3.0 Premium,2021,12500,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Yellow,None reported,Yes,53500
Lincoln,Aviator Reserve AWD,2022,18196,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Brown,Black,None reported,Yes,62000
Jaguar,F-TYPE,2020,15903,2.0 Liter Supercharged,Gasoline,Automatic,Black,Silver,None reported,,47998
Land,Rover LR4 HSE,2013,79800,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,29990
Mercedes-Benz,Metris Base,2021,1685,2.0L I4 16V GDI DOHC Turbo,Gasoline,9-Speed Automatic,White,Gray,None reported,Yes,250000
Dodge,Challenger SXT,2013,61074,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Black,None reported,Yes,16800
Nissan,350Z Enthusiast,2003,74000,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,–,Purple,None reported,Yes,11000
Jaguar,F-TYPE R,2018,35250,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Green,None reported,Yes,68750
Genesis,GV70 3.5T Sport,2023,5400,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Green,,,60000
Chevrolet,S-10 LS,2000,133510,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Black,Blue,None reported,Yes,4500
BMW,440 Gran Coupe 440i xDrive,2020,25990,3.0 Liter Turbo,Gasoline,Automatic,Beige,White,None reported,,38598
Ford,F-150 XLT,2023,2823,3.5L V6 24V PDI DOHC Twin Turbo,Gasoline,Automatic,Black,Iconic Silver Metallic,None reported,Yes,58504
Chevrolet,Suburban RST,2021,52000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Blue,None reported,Yes,61000
Hyundai,Elantra N Base,2022,11650,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300
Nissan,Sentra SR,2016,96541,1.8 Liter,Gasoline,Automatic,Black,Blue,None reported,,13998
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gray,None reported,Yes,59995
BMW,650 Gran Coupe i xDrive,2015,69000,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Gray,None reported,Yes,25700
Audi,Q5 2.0T Premium Plus,2017,81880,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,E85 Flex Fuel,8-Speed Automatic,Black,Mythos Black Metallic,None reported,Yes,21375
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,Silver,None reported,Yes,48000
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Silver,At least 1 accident or damage reported,Yes,10900
BMW,i3 120Ah w/Range Extender,2020,35035,120 AH,Hybrid,Automatic,Black,Black,None reported,,24998
Kia,Sorento SX,2011,171000,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,5999
Lexus,LX 570 Base,2016,118700,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Black,None reported,Yes,46900
Jeep,New Compass Trailhawk,2017,119000,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Red,None reported,Yes,15900
BMW,340 i,2018,44261,3.0 Liter Turbo,Gasoline,Automatic,Black,Gray,None reported,,33598
Audi,A4 2.0T Premium Plus quattro,2012,125575,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Silver,None reported,Yes,8999
Hyundai,Tucson SE,2007,16200,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Gold,None reported,Yes,8200
BMW,Z4 sDrive28i,2014,70000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,At least 1 accident or damage reported,Yes,20000
